Object ID	File to include	Shape files
1	xx_kabuto_flick.bin	 kb_l0
1	xx_kabutolev1.bin	 kb_l0 kb_l1 kb_l2 kb_l3 kb_l4 kb_l5 kb_l6 kb_l7
2	xx_mecc_flick.bin	 mc_l0 mc_l1 mc_l2 mc_l3 mc_l4 mc_l5 mc_l6 mc_l7
2	xx_mecclev1.bin	 mc_l0 mc_l1 mc_l2 mc_l3 mc_l4 mc_l5 mc_l6 mc_l7
3	xx_reaper_flick.bin	 rp_l0 rp_l1 rp_l2 rp_l3 rp_l4 rp_l5 rp_l6 rp_l7
3	xx_reaperlev1.bin	 rp_l0 rp_l1 rp_l2 rp_l3 rp_l4 rp_l5 rp_l6 rp_l7
4	xx_lander.bin	 m_lander_l0
8	xx_vimp.bin	 vp_l1 vp_l2 vp_l3 vp_l4 vp_l5 vp_l6 vp_l7
11	xx_smartie.bin	 sm_l0 sm_l1 sm_l2 sm_l3 sm_l4 sm_l5 sm_l6 sm_l7
14	xx_mecc_flick.bin	 mc_bullet
14	xx_mecclev1.bin	 mc_bullet
14	xx_rpman_weapons.bin	 mc_bullet
21	xx_mecc_flick.bin	 mc_gun_l0 mc_gun_l1 mc_gun_l2 mc_gun_l3 mc_gun_l4 mc_gun_l5
21	xx_mecclev1.bin	 mc_gun_l0 mc_gun_l1 mc_gun_l2 mc_gun_l3 mc_gun_l4 mc_gun_l5
21	xx_rpman_weapons.bin	 mc_gun_l0 mc_gun_l1 mc_gun_l2 mc_gun_l3 mc_gun_l4 mc_gun_l5
22	xx_mecc_flick.bin	 mc_shotgun_l0 mc_shotgun_l1 mc_shotgun_l2 mc_shotgun_l3 mc_shotgun_l4 mc_shotgun_l5
22	xx_mecclev1.bin	 mc_shotgun_l0 mc_shotgun_l1 mc_shotgun_l2 mc_shotgun_l3 mc_shotgun_l4 mc_shotgun_l5
22	xx_rpman_weapons.bin	 mc_shotgun_l0 mc_shotgun_l1 mc_shotgun_l2 mc_shotgun_l3 mc_shotgun_l4 mc_shotgun_l5
23	xx_mecclev1.bin	 mc_syringe
23	xx_rpman_weapons.bin	 mc_syringe
24	xx_reaper_spells.bin	 rw_tornado
25	xx_mecclev1.bin	 mc_laser
25	xx_rpman_weapons.bin	 mc_laser
28	xx_mecc_flick.bin	 mc_beamring
28	xx_mecclev1.bin	 mc_beamring
28	xx_rpman_weapons.bin	 mc_beamring
29	xx_mecclev1.bin	 mc_lasergun
29	xx_rpman_weapons.bin	 mc_lasergun
30	xx_raik.bin	 rp_bow rp_bow_l1 rp_bow_l2 rp_bow_l3 rp_bow_l4 rp_bow_l5
30	xx_reaper_flick.bin	 rp_bow rp_bow_l1 rp_bow_l2 rp_bow_l3 rp_bow_l4 rp_bow_l5
30	xx_reaperlev1.bin	 rp_bow rp_bow_l1 rp_bow_l2 rp_bow_l3 rp_bow_l4 rp_bow_l5
31	xx_efx.bin	 rp_glow
33	xx_reaperlev1.bin	 rw_warning
34	xx_reaperlev1.bin	 rparrow
35	xx_reaperlev1.bin	 rp_fire
36	xx_mecclev1.bin	 mcbush
36	xx_rpman_weapons.bin	 mcbush
37	xx_efx.bin	 rp_glow
38	xx_mecc_flick.bin	 mc_zip
38	xx_mecclev1.bin	 mc_zip
38	xx_rpman_weapons.bin	 mc_zip
40	xx_reaper_spells.bin	 mr_invisible
42	xx_mecc_flick.bin	 mc_gun_l0 mc_gun_l1 mc_gun_l2 mc_gun_l3 mc_gun_l4 mc_gun_l5
42	xx_mecclev1.bin	 mc_gun_l0 mc_gun_l1 mc_gun_l2 mc_gun_l3 mc_gun_l4 mc_gun_l5
42	xx_rpman_weapons.bin	 mc_gun_l0 mc_gun_l1 mc_gun_l2 mc_gun_l3 mc_gun_l4 mc_gun_l5
43	xx_mecc_flick.bin	 mc_bullet
43	xx_mecclev1.bin	 mc_bullet
43	xx_rpman_weapons.bin	 mc_bullet
44	xx_permanentaliens.bin	 ex_flash
45	xx_permanentaliens.bin	 ex_smoke_ring
49	xx_permanentaliens.bin	 mr_invisible mr_invisible
53	xx_smartie_stuff.bin	 pub pub_l1 pub_l2 pub_l3 pub_l4
60	xx_mecclev1.bin	 mc_turret mc_turret_l1 mc_turret_l2 mc_turret_l3 mc_turret_l4
60	xx_rpman_weapons.bin	 mc_turret mc_turret_l1 mc_turret_l2 mc_turret_l3 mc_turret_l4
71	xx_efx.bin	 sm_glow
73	xx_ripper.bin	 ripper rip_l1 rip_l2 rip_l3 rip_l4 rip_l5 rip_l6
74	xx_efx.bin	 smoke
75	xx_seamonster.bin	 rm_seamonster rm_seamonster_l1 rm_seamonster_l2 rm_seamonster_l3 rm_seamonster_l4 rm_seamonster_l5 rm_seamonster_l6
78	xx_rocks.bin	 rock_1
79	xx_rocks.bin	 rock_2
84	xx_mecc_flick.bin	 mcthrust
84	xx_mecclev1.bin	 mcthrust
84	xx_rpman_weapons.bin	 mcthrust
85	xx_mecc_flick.bin	 mcthrust2
85	xx_mecclev1.bin	 mcthrust2
85	xx_rpman_weapons.bin	 mcthrust2
90	xx_ripper.bin	 ripspit
91	xx_rocks.bin	 rock_3 rock_3
92	xx_plants.bin	 b_pod b_pod_l1 b_pod_l2
93	xx_plants.bin	 b_bush b_bush_l1
101	xx_ptree.bin	 ptree
102	xx_ptree.bin	 ptree_bob ptree_bob_l1 ptree_bob_l2 ptree_bob_l3 ptree_bob_l4 ptree_bob_l5 ptree_bob_l6 ptree_bob_l7
109	xx_efx.bin	 dust
118	xx_bridge.bin	 bridge
121	xx_efx.bin	 water_rings
121	xx_water_rings.bin	 water_rings
123	xx_birds.bin	 flak_l0 flak_l1
124	xx_birds.bin	 lobird_l0
125	xx_ptree.bin	 b_leaf1
127	xx_mecclev1.bin	 mcflag
127	xx_rpman_weapons.bin	 mcflag
128	xx_fish.bin	 shiner
129	xx_plants.bin	 s_weeds
130	xx_plants.bin	 b_lilly
133	xx_mecclev1_nothrust.bin	 mc_nothrust_l0
135	xx_efx.bin	 m_blueglow
137	xx_efx.bin	 water_drip
137	xx_water_rings.bin	 water_drip
138	xx_plants.bin	 s_flower1
208	xx_lander.bin	 mecc_crash1
